command,usage,grammar,option,example
ls,ls命令用于显示指定工作目录下之内容（列出目前工作目录所含之文件及子目录)。,ls [-alrtAFR] [name...]\n其中\n[-alrtAFR] 中的每个字母代表一个参数意义\n[name...]中name参数表示指定的要工作目录, ‘-a :显示所有文件及目录\n\n-l: 除文件名称外，亦将文件型态、权限、拥有者、文件大小等资讯详细列出\n\n-r :将文件以相反次序显示(原定依英文字母次序)\n\n-t :将文件依建立时间之先后次序列出\n\n-A :同 -a，但不列出 "." (目前目录) 及 ".." (父目录)\n\n-R: 若目录下有文件、则以下之文件亦皆依序列出,"（1）列出目前工作目录下所有名称是 s 开头的文件，越新的排越后面: \n   ls -ltr s* \n\n（2）将 /bin 目录以下所有目录及文件详细资料列出:\n   ls -lR /bin\n\n（3）列出/boot目录下所有文件 :\n   ls -a /boot

"
date,date 命令可以用来显示或设定系统的日期与时间。,date [OPTION]... [+FORMAT],‘-d：通过字符串显示时间格式。\n\n-r：显示文件的上次修改时间。\n\n-s：根据字符串设置系统时间。\n\n-u：显示或设置协调世界时(UTC)。\n\n--help：显示帮助信息。\n\n,（1）格式化输出:\n   # date +"%Y-%m-%d"\n\n（2）输出昨天日期：\n   # date -d "1 day ago" +"%Y-%m-%d"\n\n（3）显示月份与日数:\n   date '+%B %d'\n\n（4）输出 2 秒后的时间：\n   # date -d "2 second" +"%Y-%m-%d %H:%M.%S"
who,who命令用于显示系统中有哪些使用者正在上面，显示的资料包含了使用者 ID、使用的终端机、从哪边连上来的、上线时间、呆滞时间、CPU 使用量、动作等等。,who - [husfV] [user],‘-i ：显示闲置时间；\n\n-q：只显示登入系统的帐号名称和总人数；\n\n--help：在线帮助；\n\n--version：显示版本信息。,"（1）显示当前登录系统的用户:\n   # who\n\n（2）显示标题栏:\n   # who -H\n\n（3）显示用户登录来源:\n   # who -l -H\n\n（4）只显示当前用户:\n   # who -m -H\n\n（5）精简模式显示:\n   # who -q
"
cal,"cal命令可以用来显示公历（阳历）日历。如只有一个参数、则表示年份(1-9999)；如有两个参数、则表示月份和年份。
","cal [参数][月份][年份]
",’-3 ：显示前一月、当前月、后一月三个月的日历\n\n-m: 显示星期一为第一列\n\n-j :显示在当前年第几天\n\n-y [year]:显示当前年[year]份的日历,"（1）显示指定年月的日期:\n   cal 9 2012\n\n（2）显示2013年每个月日历:\n   cal -y 2013\n\n（3）将星期一做为第一列，显示前中后三月:\n   cal -3m
"
help,help命令用于显示shell内部命令的帮助信息。,"（1）查看内部命令：\nhelp [参数] 内部命令\n\n（2）查看外部命令的用法：\n命令 --help
",‘-d:输出每个命令的简短描述\n\n-s:输出短格式的帮助信息\n\n-m:以伪man手册的格式显示帮助信息,"（1）显示cd命令的帮助信息：\n   # help cd \n\n（2）以短格式显示cd命令的帮助信息：\n   # help -s cd\n\n（3）输出cd命令的简短描述:\n   # help -d cd \n\n（4）查看外部命令cat的用法：\n   # cat --help 
"
man,"man指令可以查看Linux中的指令帮助、配置文件帮助和编程帮助等信息。
",man [选项] [参数],’-a：在所有的man帮助手册中搜索;\n\n-f：等价于whatis指令、显示给定关键字的简短描述信息;\n\n-P：指定内容时使用分页程序;\n\n-M：指定man手册搜索的路径。,（1）查看命令cd的帮助信息：\n   #man 1 cd\n\n（2）显示命令ls所有章节的手册：\n   man -a ls
pwd,pwd（英文全拼：print work directory） 命令用于显示工作目录、执行 pwd 指令可立刻得知您目前所在的工作目录的绝对路径名称。,pwd [--help][--version],‘--help:在线帮助。\n\n--version:显示版本信息。,（1）查看当前所在目录：\n   # pwd
cd,cd（英文全拼：change directory）命令用于切换当前工作目录。,cd [dirName]\ndirName：要切换的目标目录。,无。,（1）跳到 /usr/bin/ :\n   cd /usr/bin\n\n（2）跳到自己的 home 目录 :\n   cd ~\n\n（3）跳到目前目录的上上两层 :\n   cd ../..
mkdir,mkdir（英文全拼：make directory）命令用于创建目录。,mkdir [-p] dirName,’-p:确保目录名称存在，不存在的就建一个。,（1）在工作目录下，建立一个名为 runoob 的子目录 :\n   mkdir runoob\n\n（2）在工作目录下的 runoob2 目录中建立一个名为 test 的子目录。若 runoob2 目录原本不存在，则建立一个。\n   mkdir -p runoob2/test
rmdir,rmdir（英文全拼：remove directory）命令删除空的目录。,rmdir [-p] dirName,-p:当子目录被删除后使它也成为空目录的话，则顺便一并删除。,（1）将工作目录下，名为 AAA 的子目录删除 :\n   rmdir AAA\n\n（2）在工作目录下的 BBB 目录中，删除名为 Test 的子目录。若 Test 删除后，BBB 目录成为空目录，则 BBB 亦予删除。\n   rmdir -p BBB/Test
